
"N° de ligne","Code Commande","Qté","Description","Fabricant et Réf. Fabricant","RoHS","Prix Unitaire HT","Dispo.","Prix de la ligne","Commentaire"

1,"9695826","21","CONDENSATEUR BOITIER B 10UF 35V","PANASONIC - EEEFK1V100UR","YES ","0.41","Disponible","8.61",""
2,"1759136","100","CONDENSATEUR MLCC 0805 Y5V 6.3V 10UF","MULTICOMP - MCCA000268","YES ","0.048","Disponible","4.8",""

3,"1759398","100","CONDENSATEUR MLCC 0603 Y5V 10V 1UF","MULTICOMP - MCCA000521","YES ","0.0090","Disponible","0.9",""
4,"1759083","50","CONDENSATEUR MLCC 0603 X7R 50V 680PF","MULTICOMP - MC0603B681K500CT","YES ","0.0070","Disponible","0.35",""

5,"1759027","20","CONDENSATEUR MLCC 0603 X7R 25V 22NF","MULTICOMP - MC0603B223K250CT","YES ","0.0090","Disponible","0.18",""
6,"2320807","30","CONDENSATEUR MLCC 3.3NF 50V X7R 0603","MULTICOMP - MC0603B332J500CT","YES ","0.0080","Disponible","0.24",""

7,"2320806","20","CONDENSATEUR MLCC 2.2NF 50V X7R 0603","MULTICOMP - MC0603B222J500CT","YES ","0.0090","Disponible","0.18",""
8,"1759037","20","CONDENSATEUR MLCC 0603 X7R 25V 100NF","MULTICOMP - MC0603B104K250CT","YES ","0.0070","Disponible","0.14",""

9,"1593445","10","EMBASE MALE 2 RANGEE VERT 16VOIES","MULTICOMP - 2213S-16G","YES ","0.83","Disponible","8.3",""
10,"1593411","10","EMBASE MALE 1 RANGEE VERT 2VOIES","MULTICOMP - 2211S-02G","YES ","0.065","Disponible","0.65",""
11,"1593440","10","EMBASE MALE 2 RANGEE VERT 6VOIES","MULTICOMP - 2213S-06G","YES ","0.36","Disponible","3.6",""
12,"1882283","10","AMPLI OP JFET 11MHZ QUAD 14TSSOP","TEXAS INSTRUMENTS - OPA1644AIPW","YES ","3.93","Disponible","39.3",""
13,"1689419","3","24BIT AUDIO CODE 64TQFP","TEXAS INSTRUMENTS - PCM3168APAP","YES ","11.86","Disponible","35.58",""

14,"9306803","3","CONVERTISSEUR DE TENSION CMS","TEXAS INSTRUMENTS - LM2662M","YES ","1.7","Disponible","5.1",""
15,"8529833","10","LED CMS 0603 VERT","KINGBRIGHT - KP-1608SGC","YES ","0.076","Disponible","0.76",""

16,"2073537","100","RESISTANCE 0603 5K6 1% ANTI SULFUR","MULTICOMP - MCMR06X5601FTL","YES ","0.0080","Disponible","0.8",""
17,"2073570","100","RESISTANCE 0603 7K5 1% ANTI SULFUR","MULTICOMP - MCMR06X7501FTL","YES ","0.0080","Disponible","0.8",""

18,"2073461","100","RESISTANCE 0603 3K 1% ANTI SULFUR","MULTICOMP - MCMR06X3001FTL","YES ","0.0080","Disponible","0.8",""
19,"2073388","100","RESISTANCE 0603 150R 1% ANTI SULFUR","MULTICOMP - MCMR06X1500FTL","YES ","0.0090","Disponible","0.9",""

20,"9238760","50","RESISTANCE RC22H 0603 220K","YAGEO (PHYCOMP) - RC0603FR-07220KL","YES ","0.0050","Disponible","0.25",""
"","","","","","","","",""
"","","","","","","","Sous-total :","112.24"
"","","","","","","","Code Promotion :","0.0"
"","","","","","","","Livraison","Inconnu"
"","","","","","","","Total","112.24"
"","","","","","","","TVA","22.45"
"","","","","","","","Total","134.69"
